settlement_id,osm_id,name,settlement_type,latitude,longitude,cell_id,operational_risk_index,risk_level,operational_risk_index_24h,risk_level_24h,operational_risk_index_48h,risk_level_48h,operational_risk_index_72h,risk_level_72h,potentially_exposed,potentially_exposed_24h,potentially_exposed_48h,potentially_exposed_72h,population,population_source,exposure_semantics
OSM-SETTLEMENT-1477987342,1477987342,Melli Bāzār,suburb,27.090148,88.457711,SKM_07385,46.0,MODERATE,48.1,MODERATE,45.3,MODERATE,40.9,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-245756235,245756235,Rangpo,town,27.174436,88.53034,SKM_07050,23.0,MODERATE,22.6,MODERATE,21.0,MODERATE,16.3,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3689799083,3689799083,Majitar,suburb,27.184802,88.503013,SKM_06978,35.8,MODERATE,35.4,MODERATE,33.9,MODERATE,29.1,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-4491382813,4491382813,Burdāng,village,27.217871,88.492303,SKM_06681,28.7,MODERATE,27.2,MODERATE,26.3,MODERATE,21.4,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098339,342098339,Singtam,town,27.231997,88.497084,SKM_06524,66.5,HIGH,64.6,HIGH,63.9,HIGH,59.0,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553913693,3553913693,Unnamed OSM settlement,hamlet,27.256726,88.522812,SKM_06367,24.5,MODERATE,22.4,MODERATE,21.8,MODERATE,16.8,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553913694,3553913694,Unnamed OSM settlement,hamlet,27.256762,88.513713,SKM_06366,27.0,MODERATE,24.8,MODERATE,24.2,MODERATE,19.3,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553912723,3553912723,Unnamed OSM settlement,hamlet,27.272355,88.512237,SKM_06193,20.4,MODERATE,18.0,LOW,17.5,LOW,12.6,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553912730,3553912730,Unnamed OSM settlement,hamlet,27.273352,88.521444,SKM_06194,22.4,MODERATE,20.0,MODERATE,19.5,LOW,14.5,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-2235312844,2235312844,Rumtek,hamlet,27.289612,88.562231,SKM_06022,29.1,MODERATE,26.3,MODERATE,25.8,MODERATE,20.9,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-245756401,245756401,Namchi,town,27.166126,88.365198,SKM_07093,66.0,HIGH,66.8,HIGH,65.0,HIGH,60.4,HIGH,True,True,True,True,5000.0,OSM tag,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-5525442757,5525442757,Soreng,village,27.170642,88.199457,SKM_07076,32.7,MODERATE,34.0,MODERATE,31.9,MODERATE,27.5,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-5532229344,5532229344,Singling,village,27.182134,88.199208,SKM_06948,62.3,HIGH,63.7,HIGH,61.4,HIGH,57.3,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-5536314733,5536314733,Sribadam,village,27.216367,88.207233,SKM_06731,19.6,LOW,21.2,MODERATE,18.8,LOW,14.9,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098371,342098371,Reshi,village,27.221893,88.305424,SKM_06663,37.4,MODERATE,38.4,MODERATE,36.4,MODERATE,32.2,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1478006142,1478006142,Pabong,village,27.228464,88.446786,SKM_06598,27.2,MODERATE,25.8,MODERATE,24.9,MODERATE,20.1,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-974660324,974660324,Damthang,village,27.229429,88.389469,SKM_06592,26.0,MODERATE,25.7,MODERATE,24.3,MODERATE,19.7,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1478006150,1478006150,Tarku,village,27.234631,88.421626,SKM_06516,24.5,MODERATE,23.5,MODERATE,22.4,MODERATE,17.7,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-9351622454,9351622454,Rinchingpong,village,27.242638,88.270395,SKM_06501,19.1,LOW,20.5,MODERATE,18.2,LOW,14.5,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1478006149,1478006149,Simchuthang,village,27.244161,88.450571,SKM_06440,30.2,MODERATE,28.3,MODERATE,27.6,MODERATE,22.7,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3500675128,3500675128,Unnamed OSM settlement,hamlet,27.274104,88.216089,SKM_06164,26.8,MODERATE,28.7,MODERATE,26.1,MODERATE,22.6,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098380,342098380,Legship,village,27.28043,88.27515,SKM_06082,38.7,MODERATE,40.5,MODERATE,38.0,MODERATE,34.4,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1478035320,1478035320,Rangit Nagar,suburb,27.281816,88.284011,SKM_06083,30.6,MODERATE,32.3,MODERATE,30.0,MODERATE,26.3,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342104453,342104453,Gyalshing,town,27.29004,88.2573,SKM_05992,53.4,HIGH,55.4,HIGH,52.8,HIGH,49.3,MODERATE,True,True,True,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1478006151,1478006151,Yangang,village,27.294892,88.414385,SKM_06007,24.9,MODERATE,22.9,MODERATE,22.1,MODERATE,17.4,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-974465706,974465706,Pemayangtse,village,27.299063,88.249866,SKM_05903,28.0,MODERATE,30.0,MODERATE,27.3,MODERATE,23.9,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098565,342098565,Pelling,village,27.300372,88.23565,SKM_05902,25.0,MODERATE,26.9,MODERATE,24.3,MODERATE,20.9,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098351,342098351,Ravangla,town,27.305127,88.364472,SKM_05915,65.0,HIGH,63.8,HIGH,63.0,HIGH,58.3,HIGH,True,True,True,True,2282.0,OSM tag,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098357,342098357,Makha,village,27.311426,88.455179,SKM_05835,29.7,MODERATE,27.2,MODERATE,26.8,MODERATE,21.9,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098389,342098389,Tashidang,locality,27.32025,88.28888,SKM_05732,25.0,MODERATE,26.6,MODERATE,24.5,MODERATE,20.6,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342104481,342104481,Dentam,locality,27.26118,88.139308,SKM_06329,22.6,MODERATE,23.8,MODERATE,21.3,MODERATE,17.7,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3500674905,3500674905,Unnamed OSM settlement,hamlet,27.264005,88.178302,SKM_06248,61.6,HIGH,63.2,HIGH,60.6,HIGH,57.1,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3500666476,3500666476,Unnamed OSM settlement,hamlet,27.267992,88.080128,SKM_06238,60.6,HIGH,60.9,HIGH,58.6,HIGH,55.2,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3500666440,3500666440,Unnamed OSM settlement,hamlet,27.269455,88.041343,SKM_06235,15.6,LOW,15.6,LOW,13.4,LOW,10.2,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3500665958,3500665958,Unnamed OSM settlement,village,27.269679,88.068417,SKM_06237,22.2,MODERATE,22.3,MODERATE,20.0,MODERATE,16.8,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098547,342098547,Nambu,locality,27.31339,88.15979,SKM_05806,36.9,MODERATE,38.1,MODERATE,36.2,MODERATE,32.4,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098557,342098557,Rimbi,village,27.31476,88.18589,SKM_05809,27.3,MODERATE,29.0,MODERATE,26.8,MODERATE,23.1,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-860041766,860041766,Rimbi Hare Khola,locality,27.32863,88.150033,SKM_05631,38.9,MODERATE,40.0,MODERATE,38.3,MODERATE,34.3,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-860042152,860042152,Shankola,locality,27.346813,88.134035,SKM_05460,36.9,MODERATE,37.8,MODERATE,36.4,MODERATE,32.3,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098499,342098499,Singh Khola,locality,27.34909,88.12958,SKM_05459,39.5,MODERATE,40.2,MODERATE,38.8,MODERATE,34.8,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098464,342098464,Chongri,locality,27.35321,88.11859,SKM_05375,21.8,MODERATE,22.4,MODERATE,21.1,MODERATE,17.0,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098454,342098454,CAMP 2,locality,27.37656,88.10211,SKM_05206,15.6,LOW,16.0,LOW,14.9,LOW,10.7,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098490,342098490,Phedi,locality,27.37793,88.10074,SKM_05206,15.6,LOW,16.0,LOW,14.9,LOW,10.7,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098481,342098481,Malla Deora,locality,27.38068,88.0925,SKM_05123,15.4,LOW,15.8,LOW,14.8,LOW,10.5,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098510,342098510,Yampung,locality,27.39029,88.09113,SKM_05040,16.6,LOW,17.0,LOW,16.0,LOW,11.7,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-245758907,245758907,Tashiding,locality,27.4185,88.0642,SKM_04806,16.0,LOW,16.3,LOW,15.5,LOW,11.1,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098449,342098449,CAMP,locality,27.42462,88.09525,SKM_04809,16.4,LOW,16.8,LOW,16.3,LOW,11.6,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098473,342098473,Danfebir,locality,27.42737,88.08975,SKM_04733,16.6,LOW,16.9,LOW,16.3,LOW,11.7,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-11697106182,11697106182,Dzongri,hamlet,27.481688,88.157999,SKM_04301,17.5,LOW,18.2,LOW,19.7,LOW,13.3,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-11694774372,11694774372,Kokchurung,hamlet,27.503157,88.175325,SKM_04155,19.4,LOW,20.3,MODERATE,22.5,MODERATE,15.5,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342104445,342104445,Gerethang,locality,27.34497,88.2573,SKM_05472,24.5,MODERATE,26.0,MODERATE,24.1,MODERATE,20.1,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-496992033,496992033,Yuksom,village,27.369243,88.218483,SKM_05301,22.9,MODERATE,24.3,MODERATE,23.0,MODERATE,18.6,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-9534195011,9534195011,Lingzya,village,27.556445,88.45343,SKM_03745,33.8,MODERATE,27.8,MODERATE,28.1,MODERATE,23.5,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1477920223,1477920223,Sakyong,hamlet,27.56967,88.408231,SKM_03600,23.6,MODERATE,20.0,MODERATE,20.7,MODERATE,15.6,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-9645176146,9645176146,Gnon,village,27.44685,88.505545,SKM_04628,29.9,MODERATE,23.6,MODERATE,23.6,MODERATE,19.2,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-9534144197,9534144197,"Gnon-Sangdong, Lower Dzongu",village,27.454299,88.503363,SKM_04555,27.7,MODERATE,21.1,MODERATE,21.0,MODERATE,16.8,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-9645309731,9645309731,Rapchyong,village,27.470041,88.508839,SKM_04410,30.6,MODERATE,24.0,MODERATE,24.0,MODERATE,19.8,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-9645284999,9645284999,Sudur,village,27.47341,88.511349,SKM_04410,30.6,MODERATE,24.0,MODERATE,24.0,MODERATE,19.8,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-9645314763,9645314763,Bringbong,village,27.477542,88.521445,SKM_04337,41.8,MODERATE,35.4,MODERATE,35.5,MODERATE,31.1,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-245760084,245760084,Mangan,town,27.501148,88.535533,SKM_04190,41.9,MODERATE,35.8,MODERATE,35.9,MODERATE,31.5,MODERATE,False,False,False,False,5000.0,OSM tag,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1477920225,1477920225,Sangkalang,village,27.506826,88.529427,SKM_04116,37.3,MODERATE,31.2,MODERATE,31.4,MODERATE,27.0,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-4571035218,4571035218,Sentam,village,27.517144,88.549118,SKM_04044,45.9,MODERATE,40.4,MODERATE,40.8,MODERATE,36.2,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-6545164972,6545164972,Lingthem,village,27.522891,88.501328,SKM_03967,32.3,MODERATE,25.3,MODERATE,25.3,MODERATE,21.1,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-6545133798,6545133798,Passingdong,village,27.528087,88.514368,SKM_03968,33.4,MODERATE,26.7,MODERATE,26.8,MODERATE,22.5,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-11694774371,11694774371,Thansing,hamlet,27.516882,88.18392,SKM_04008,17.2,LOW,18.1,LOW,20.3,MODERATE,13.3,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-11694774370,11694774370,Lamuney,hamlet,27.545603,88.186037,SKM_03790,16.8,LOW,17.7,LOW,19.9,LOW,13.1,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-12492316720,12492316720,Chowrikhang,hamlet,27.549503,88.129388,SKM_03784,15.9,LOW,16.4,LOW,17.3,LOW,11.8,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-11694774376,11694774376,Zemathang,locality,27.579865,88.189576,SKM_03507,15.2,LOW,16.0,LOW,17.5,LOW,11.5,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-6534229637,6534229637,Rhenock,town,27.174665,88.644336,SKM_07053,31.7,MODERATE,30.3,MODERATE,29.0,MODERATE,24.4,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098321,342098321,Rorithang,village,27.19666,88.61161,SKM_06845,28.5,MODERATE,26.8,MODERATE,25.7,MODERATE,20.9,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098659,342098659,Rongli,town,27.20352,88.70087,SKM_06780,28.9,MODERATE,26.4,MODERATE,25.7,MODERATE,20.8,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-6536850481,6536850481,Unnamed OSM settlement,village,27.213114,88.663648,SKM_06698,63.3,HIGH,60.9,HIGH,60.2,HIGH,55.2,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3295104378,3295104378,Takchang,village,27.215668,88.634156,SKM_06695,23.5,MODERATE,21.4,MODERATE,20.5,MODERATE,15.6,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-6536850480,6536850480,Unnamed OSM settlement,hamlet,27.217021,88.672537,SKM_06699,28.9,MODERATE,26.5,MODERATE,25.7,MODERATE,20.8,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-6536850482,6536850482,Unnamed OSM settlement,village,27.218533,88.66515,SKM_06698,63.3,HIGH,60.9,HIGH,60.2,HIGH,55.2,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098648,342098648,Lingtam,locality,27.22688,88.739561,SKM_06627,40.9,MODERATE,38.5,MODERATE,38.4,MODERATE,33.2,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553785023,3553785023,Unnamed OSM settlement,hamlet,27.236324,88.671704,SKM_06541,23.5,MODERATE,20.6,MODERATE,20.2,MODERATE,15.1,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553785026,3553785026,Unnamed OSM settlement,hamlet,27.237673,88.679562,SKM_06542,26.8,MODERATE,23.8,MODERATE,23.4,MODERATE,18.3,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553779892,3553779892,Unnamed OSM settlement,village,27.242748,88.650971,SKM_06460,22.9,MODERATE,20.1,MODERATE,19.7,LOW,14.6,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553785027,3553785027,Unnamed OSM settlement,village,27.243121,88.66386,SKM_06461,23.0,MODERATE,20.1,MODERATE,19.6,LOW,14.5,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098314,342098314,Pakyong,town,27.243611,88.598499,SKM_06455,65.3,HIGH,63.1,HIGH,62.3,HIGH,57.4,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553825135,3553825135,Unnamed OSM settlement,hamlet,27.245277,88.692772,SKM_06464,31.9,MODERATE,28.8,MODERATE,28.5,MODERATE,23.4,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553785042,3553785042,Unnamed OSM settlement,hamlet,27.245507,88.671438,SKM_06462,26.3,MODERATE,23.3,MODERATE,22.9,MODERATE,17.8,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553761997,3553761997,Unnamed OSM settlement,hamlet,27.255628,88.651891,SKM_06380,30.5,MODERATE,27.6,MODERATE,27.1,MODERATE,22.0,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553761998,3553761998,Unnamed OSM settlement,hamlet,27.256149,88.660629,SKM_06381,65.9,HIGH,62.8,HIGH,62.5,HIGH,57.3,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553882229,3553882229,Unnamed OSM settlement,hamlet,27.258386,88.701669,SKM_06300,62.7,HIGH,59.4,HIGH,59.1,HIGH,53.9,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553762016,3553762016,Unnamed OSM settlement,hamlet,27.259326,88.653424,SKM_06295,26.9,MODERATE,23.9,MODERATE,23.5,MODERATE,18.3,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553882285,3553882285,Unnamed OSM settlement,hamlet,27.260556,88.696955,SKM_06299,63.2,HIGH,59.9,HIGH,59.7,HIGH,54.5,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098638,342098638,Padamchen,locality,27.237659,88.767309,SKM_06550,42.4,MODERATE,40.2,MODERATE,40.1,MODERATE,35.0,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098630,342098630,Dzuluk,locality,27.252566,88.777262,SKM_06392,40.9,MODERATE,38.7,MODERATE,38.6,MODERATE,33.4,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-6594925595,6594925595,Unnamed OSM settlement,locality,27.281606,88.800281,SKM_06134,72.5,HIGH,70.7,HIGH,70.6,HIGH,65.5,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-9140139087,9140139087,Shalambi,locality,27.288923,88.812609,SKM_06047,72.5,HIGH,70.9,HIGH,70.7,HIGH,65.6,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-6600834647,6600834647,Nathang,locality,27.298966,88.817759,SKM_05959,30.8,MODERATE,29.2,MODERATE,28.8,MODERATE,23.9,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-5089487879,5089487879,Gnathong,locality,27.307385,88.82397,SKM_05872,33.9,MODERATE,32.5,MODERATE,32.0,MODERATE,27.2,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-9212717346,9212717346,Kupup,village,27.35065,88.839669,SKM_05446,27.2,MODERATE,26.0,MODERATE,25.5,MODERATE,20.8,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098716,342098716,Theagu,locality,27.375045,88.787437,SKM_05191,68.8,HIGH,67.2,HIGH,67.1,HIGH,62.2,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098668,342098668,Ranipool,suburb,27.29416,88.58963,SKM_05937,32.2,MODERATE,28.9,MODERATE,28.8,MODERATE,23.7,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-12854457861,12854457861,Lingmoo,village,27.338526,88.470916,SKM_05576,23.7,MODERATE,21.1,MODERATE,20.6,MODERATE,15.7,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-3553960220,3553960220,Unnamed OSM settlement,hamlet,27.342059,88.587527,SKM_05505,34.7,MODERATE,31.4,MODERATE,31.4,MODERATE,26.3,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-12854458794,12854458794,Raley,village,27.346385,88.486815,SKM_05495,29.6,MODERATE,26.8,MODERATE,26.3,MODERATE,21.5,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098811,342098811,GB Pant Institute,locality,27.364052,88.569097,SKM_05336,35.7,MODERATE,32.2,MODERATE,32.3,MODERATE,27.3,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-13190504525,13190504525,Golitar,hamlet,27.366015,88.565358,SKM_05335,20.5,MODERATE,17.0,LOW,17.0,LOW,12.0,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-6617643281,6617643281,Samdong,village,27.376293,88.513659,SKM_05164,25.0,MODERATE,21.0,MODERATE,21.0,MODERATE,16.1,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
